athlete_team,time_800,time_400,season
"Maloney, Shafiqua Arkansas",121.74,52.33,indoor_2022
"Hendrick, Sarah Kennesaw State",122.87,54.37,indoor_2022
"Keegan, McKenna Villanova",123.48,54.58,indoor_2022
"Jaworski, Brooke Texas",123.87,54.94,indoor_2022
"Foster, Andrea Clemson",124.17,54.45,indoor_2022
"King, Mallory Iowa",124.56,55.75,indoor_2022
"Moodry, Kelly Grand Canyon",124.68,55.24,indoor_2022
"Tovkach, Anna Army West Point",125.39,56.76,indoor_2022
"Bellino, Danielle Wisconsin",125.75,57.18,indoor_2022
"Malikova, Barbora Virginia Tech",125.86,53.32,indoor_2022
"Maccagnini, Gigi USC",126.4,57.17,indoor_2022
"Patterson, Davicia Texas",126.79,54.02,indoor_2022
"Figler, Mary Ohio State",127.13,55.32,indoor_2022
"Sklenska, Edita Troy",127.27,56.52,indoor_2022
"Shelby, Taiya Vanderbilt",127.41,52.4,indoor_2022
"Loff, Melanie Northern Arizona",127.5,56.32,indoor_2022
"Anderson, Maria Indiana",127.7,55.93,indoor_2022
"Ferguson, Alex Kansas State",127.75,56.21,indoor_2022
"Mustin, Dominique Texas A&M",129.26,57.04,indoor_2022
"Brown, Janiah USC",130.3,56.47,indoor_2022
"Lambert, Jessica Florida Atlantic",130.97,57.2,indoor_2022
"Harrod, Audrey Illinois State",131.27,56.66,indoor_2022
"O'Connell, Brid Air Force",131.29,56.84,indoor_2022
"Bossong, Victoria Harvard",131.43,55.32,indoor_2022
"Kabongo, Nissi Stephen F. Austin",131.51,54.89,indoor_2022
"Cassens, Stephanie Binghamton",131.62,57.22,indoor_2022
"Holman, Ziyah Michigan",131.63,52.66,indoor_2022
"Recio, Alicia Eastern Kentucky",131.75,57.0,indoor_2022
"Stubler, Bianca Wisconsin",132.39,53.81,indoor_2022
"Oliveira, Sierra Miami (Fla.)",133.46,55.73,indoor_2022
"Meisberger, Shannon Arizona",133.5,53.13,indoor_2022
"Newton, Renee Georgetown",133.95,57.35,indoor_2022
"McGinnis, Megan Duke",134.28,54.01,indoor_2022
"Robinson, Mikenna Texas A&M",134.65,56.71,indoor_2022
"Cooper, Kaci North Dakota State",135.11,56.39,indoor_2022
"Jones, Jonathan Texas",106.93,46.21,indoor_2022
"Thornton, Aman Clemson",107.28999999999999,47.19,indoor_2022
"Colley, Ackeen Western Illinois",107.97999999999999,49.17,indoor_2022
"Rhoden, Tarees Clemson",108.05,47.61,indoor_2022
"Hayes, Frank Iowa State",108.1,47.99,indoor_2022
"Elliott, Cass Washington",108.4,48.26,indoor_2022
"Rodin, Jacob North Dakota State",108.52000000000001,47.95,indoor_2022
"Micallef, Ben California",109.07,49.27,indoor_2022
"Bryson, Armando Iowa",110.07,47.95,indoor_2022
"Blackman, Dugion Hampton",110.24000000000001,47.9,indoor_2022
"Van Dorpe, Sam USC",110.63,48.82,indoor_2022
"Gudgel, Spencer Iowa",110.82,49.05,indoor_2022
"Carmona, Max Grand Canyon",111.78,48.7,indoor_2022
"Sylvain, Pierre Northeastern",112.18,48.87,indoor_2022
"Pe̱alver, Jose Samford",112.27000000000001,49.22,indoor_2022
"Nestor, Clardo St. Peter's",112.8,49.27,indoor_2022
"Serville, Randy Coppin State",113.85,48.68,indoor_2022
"Hendrick, Sarah Kennesaw State",120.98,55.7,outdoor_2022
"Rose, Michaela LSU",122.49,53.65,outdoor_2022
"Gearing, Rachel Penn State",123.08,56.02,outdoor_2022
"Keegan, McKenna Villanova",123.19,53.28,outdoor_2022
"Riggins, Melissa Georgetown",123.5,56.35,outdoor_2022
"Seymour, Claire BYU",123.7,53.69,outdoor_2022
"Tachinski, Victoria Penn State",124.02,56.37,outdoor_2022
"Finley, Honour Kansas",124.69,53.96,outdoor_2022
"Figler, Mary Ohio State",124.81,54.98,outdoor_2022
"Johnson, Kayla Miami (Fla.)",124.9,54.4,outdoor_2022
"Kleefeld, Carly Oregon",124.94,56.55,outdoor_2022
"Tovkach, Anna Army West Point",125.01,53.88,outdoor_2022
"Sklenska, Edita Troy",125.01,56.59,outdoor_2022
"Lewis, Michaela Texas Tech",125.13,54.65,outdoor_2022
"Shelby, Taiya Vanderbilt",125.16,51.91,outdoor_2022
"Hunter, Meghan BYU",125.38,53.92,outdoor_2022
"Loff, Melanie Northern Arizona",125.56,55.05,outdoor_2022
"Eriksen, Josefine Utah",125.56,52.72,outdoor_2022
"Moodry, Kelly Grand Canyon",125.64,55.15,outdoor_2022
"Martinez, Madison Villanova",125.87,55.69,outdoor_2022
"Archer, Joanna Texas Tech",126.02,55.63,outdoor_2022
"Brown, Janiah USC",126.04,56.06,outdoor_2022
"Malikova, Barbora Virginia Tech",126.05,53.22,outdoor_2022
"Wahlenmaier, Emma UNLV",126.26,56.62,outdoor_2022
"Clayton, Ella Oregon",126.5,52.04,outdoor_2022
"Jones, Kayla Ball State",126.54,56.3,outdoor_2022
"Carroll, Hannah LSU",126.56,56.56,outdoor_2022
"Ellsworth, Alena BYU",126.64,53.07,outdoor_2022
"Price, Star Virginia Tech",126.76,55.45,outdoor_2022
